,              1.0000E+00, 2.0000E+00, 3.0000E+00, 4.0000E+00, 5.0000E+00, 6.0000E+00, 7.0000E+00, 8.0000E+00, 9.0000E+00, 1.0000E+01, 1.1000E+01, 1.2000E+01, 1.3000E+01
 3.9994E+03, 3.0818E-03, 3.0398E-03, 2.7546E-03, 2.3909E-03, 2.4142E-03, 1.7569E-03, 1.8155E-03, 2.1885E-03, 3.1627E-03, 4.4869E-03, 4.8605E-03, 5.5193E-03, 5.3326E-03
 3.9975E+03, 2.9343E-03, 2.7410E-03, 2.6359E-03, 2.3611E-03, 2.1014E-03, 1.6265E-03, 1.8342E-03, 2.0559E-03, 2.8435E-03, 4.3341E-03, 4.5600E-03, 5.0601E-03, 5.0206E-03
 3.9955E+03, 3.1394E-03, 3.1067E-03, 2.8058E-03, 2.2606E-03, 2.1747E-03, 1.4961E-03, 2.1130E-03, 2.2155E-03, 3.3197E-03, 4.6461E-03, 4.6938E-03, 4.8460E-03, 5.1751E-03
 3.9936E+03, 2.9187E-03, 2.8569E-03, 2.5376E-03, 1.9888E-03, 1.8702E-03, 1.1850E-03, 2.0444E-03, 1.8068E-03, 3.2904E-03, 3.8241E-03, 4.1783E-03, 4.5342E-03, 4.8061E-03
 3.9917E+03, 2.3501E-03, 2.1052E-03, 2.1075E-03, 1.6400E-03, 1.2737E-03, 9.3240E-04, 1.6064E-03, 1.6746E-03, 2.6401E-03, 3.1527E-03, 3.5965E-03, 4.0583E-03, 4.1022E-03
 3.9898E+03, 2.4005E-03, 2.2027E-03, 2.4619E-03, 1.8123E-03, 1.8055E-03, 9.4510E-04, 1.5505E-03, 1.8885E-03, 2.6073E-03, 3.5342E-03, 3.5882E-03, 4.1164E-03, 4.0939E-03
 3.9878E+03, 2.6574E-03, 2.1612E-03, 2.7407E-03, 1.9512E-03, 1.6719E-03, 1.1196E-03, 1.3834E-03, 1.5755E-03, 2.4593E-03, 3.3790E-03, 3.6667E-03, 3.9017E-03, 3.7766E-03
 3.9859E+03, 2.6556E-03, 2.0184E-03, 2.4493E-03, 1.8555E-03, 1.3028E-03, 1.3280E-03, 1.5555E-03, 1.3875E-03, 2.3311E-03, 3.3302E-03, 3.8270E-03, 3.8099E-03, 3.4552E-03
 3.9840E+03, 2.4965E-03, 2.3350E-03, 1.8859E-03, 1.7806E-03, 1.5953E-03, 9.8240E-04, 1.7863E-03, 1.7263E-03, 2.5563E-03, 3.2698E-03, 3.6397E-03, 3.9792E-03, 3.5791E-03
 3.9820E+03, 2.5460E-03, 2.8047E-03, 1.8149E-03, 1.9168E-03, 1.8099E-03, 1.0566E-03, 2.0482E-03, 2.1471E-03, 2.7307E-03, 3.2546E-03, 3.8202E-03, 4.1881E-03, 4.0818E-03
 3.9801E+03, 2.4788E-03, 2.5696E-03, 1.9509E-03, 1.8398E-03, 1.6189E-03, 1.3383E-03, 1.7724E-03, 1.7033E-03, 2.2113E-03, 3.4816E-03, 3.9832E-03, 4.3095E-03, 4.1791E-03
 3.9782E+03, 2.2954E-03, 2.1120E-03, 2.1439E-03, 1.6546E-03, 1.6028E-03, 1.3741E-03, 1.6058E-03, 1.6065E-03, 2.4643E-03, 3.7392E-03, 4.0560E-03, 4.2540E-03, 4.3486E-03
 3.9762E+03, 2.5638E-03, 2.2284E-03, 2.1805E-03, 1.7438E-03, 1.5654E-03, 1.7109E-03, 2.3601E-03, 1.9954E-03, 2.9767E-03, 4.3456E-03, 3.9220E-03, 4.4134E-03, 4.6312E-03
 3.9743E+03, 2.3741E-03, 1.9822E-03, 2.1910E-03, 1.7845E-03, 1.4220E-03, 1.4955E-03, 2.5481E-03, 1.8304E-03, 2.6508E-03, 4.0755E-03, 3.7259E-03, 4.5026E-03, 4.3003E-03
 3.9724E+03, 1.6916E-03, 1.5571E-03, 1.8839E-03, 1.2160E-03, 1.4413E-03, 6.1440E-04, 1.9000E-03, 1.1524E-03, 2.0994E-03, 3.2721E-03, 3.4444E-03, 3.8965E-03, 3.6874E-03
 3.9705E+03, 1.5184E-03, 1.6960E-03, 1.5890E-03, 1.2885E-03, 1.4371E-03, 7.2590E-04, 1.6184E-03, 1.1264E-03, 1.9780E-03, 3.2611E-03, 3.1946E-03, 3.7433E-03, 3.6562E-03
