"Storage 151817 - RawData - C:\Documents and Settings\user\My Documents\Adam_Hughes\11_5_12\25nm_np\NPConcentration\File_121105_151817.spc"
"Wavelength nm.","Abs."
555.50000,0.14171
556.00000,0.14009
556.50000,0.13873
557.00000,0.13629
557.50000,0.13541
558.00000,0.13434
558.50000,0.13190
559.00000,0.13173
559.50000,0.12872
560.00000,0.12730
560.50000,0.12558
561.00000,0.12411
561.50000,0.12189
562.00000,0.12048
562.50000,0.11801
563.00000,0.11522
563.50000,0.11598
564.00000,0.11380
564.50000,0.11340
565.00000,0.11221
565.50000,0.11032
566.00000,0.10788
566.50000,0.10677
567.00000,0.10579
567.50000,0.10576
568.00000,0.10466
568.50000,0.10139
569.00000,0.09840
569.50000,0.09813
570.00000,0.09589
570.50000,0.09547
571.00000,0.09367
571.50000,0.09279
572.00000,0.09258
572.50000,0.09067
573.00000,0.08882
573.50000,0.08791
574.00000,0.08673
574.50000,0.08466
575.00000,0.08501
575.50000,0.08403
576.00000,0.08235
576.50000,0.08095
577.00000,0.08009
577.50000,0.07857
578.00000,0.07817
578.50000,0.07750
579.00000,0.07567
579.50000,0.07443
580.00000,0.07288
580.50000,0.07326
581.00000,0.07101
581.50000,0.07120
582.00000,0.07190
582.50000,0.07063
583.00000,0.06837
583.50000,0.06821
584.00000,0.06697
584.50000,0.06613
585.00000,0.06468
585.50000,0.06479
586.00000,0.06381
586.50000,0.06453
587.00000,0.06386
587.50000,0.06174
588.00000,0.06145
588.50000,0.06046
589.00000,0.06026
589.50000,0.05902
590.00000,0.05873
590.50000,0.05966
591.00000,0.05748
591.50000,0.05550
592.00000,0.05670
592.50000,0.05443
593.00000,0.05487
593.50000,0.05447
594.00000,0.05408
594.50000,0.05229
595.00000,0.05183
595.50000,0.05164
596.00000,0.05081
596.50000,0.04890
597.00000,0.04988
597.50000,0.04994
598.00000,0.05048
598.50000,0.04919
599.00000,0.04961
599.50000,0.04938
600.00000,0.04845
600.50000,0.04674
601.00000,0.04692
601.50000,0.04561
602.00000,0.04579
602.50000,0.04579
603.00000,0.04510
603.50000,0.04578
604.00000,0.04396
604.50000,0.04292
605.00000,0.04274
605.50000,0.04219
606.00000,0.04195
606.50000,0.04321
607.00000,0.04166
607.50000,0.04268
608.00000,0.04088
608.50000,0.04031
609.00000,0.04102
609.50000,0.04068
610.00000,0.04005
610.50000,0.04074
611.00000,0.04057
611.50000,0.03972
612.00000,0.03981
612.50000,0.04051
613.00000,0.03793
613.50000,0.03847
614.00000,0.04015
614.50000,0.03796
615.00000,0.03761
615.50000,0.03691
616.00000,0.03787
616.50000,0.03644
617.00000,0.03662
617.50000,0.03418
618.00000,0.03622
618.50000,0.03508
619.00000,0.03549
619.50000,0.03549
620.00000,0.03401
620.50000,0.03384
621.00000,0.03493
621.50000,0.03357
622.00000,0.03340
622.50000,0.03169
623.00000,0.03250
623.50000,0.03229
624.00000,0.03206
624.50000,0.03123
625.00000,0.03185
625.50000,0.03159
626.00000,0.03320
626.50000,0.03232
627.00000,0.03175
627.50000,0.03154
628.00000,0.03175
628.50000,0.03134
629.00000,0.02986
629.50000,0.02893
630.00000,0.02911
630.50000,0.02803
631.00000,0.02843
631.50000,0.02846
632.00000,0.02806
632.50000,0.02826
633.00000,0.02763
633.50000,0.02835
634.00000,0.02675
634.50000,0.02846
635.00000,0.02815
635.50000,0.02846
636.00000,0.02847
636.50000,0.02713
637.00000,0.02684
637.50000,0.02664
638.00000,0.02721
638.50000,0.02660
639.00000,0.02626
639.50000,0.02585
640.00000,0.02658
640.50000,0.02678
641.00000,0.02719
641.50000,0.02522
642.00000,0.02614
642.50000,0.02635
643.00000,0.02611
643.50000,0.02426
644.00000,0.02583
644.50000,0.02534
645.00000,0.02574
645.50000,0.02429
646.00000,0.02618
646.50000,0.02632
647.00000,0.02483
647.50000,0.02299
648.00000,0.02249
648.50000,0.02339
649.00000,0.02486
649.50000,0.02444
650.00000,0.02441
650.50000,0.02170
651.00000,0.02196
651.50000,0.02126
652.00000,0.02226
652.50000,0.02179
653.00000,0.02280
653.50000,0.02223
654.00000,0.02156
654.50000,0.02153
655.00000,0.02042
655.50000,0.02254
656.00000,0.02039
656.50000,0.02217
657.00000,0.01985
657.50000,0.02019
658.00000,0.02214
658.50000,0.02057
659.00000,0.02193
659.50000,0.02138
660.00000,0.02106
660.50000,0.02072
661.00000,0.01935
661.50000,0.01997
662.00000,0.01752
662.50000,0.01733
663.00000,0.01875
663.50000,0.01898
664.00000,0.01920
664.50000,0.01859
665.00000,0.01910
665.50000,0.02008
666.00000,0.01952
666.50000,0.01990
667.00000,0.01857
667.50000,0.01991
668.00000,0.01990
668.50000,0.01778
669.00000,0.01849
669.50000,0.01863
670.00000,0.02042
670.50000,0.01692
671.00000,0.01970
671.50000,0.01759
672.00000,0.01639
672.50000,0.01714
673.00000,0.01791
673.50000,0.01801
674.00000,0.01729
674.50000,0.01646
675.00000,0.01741
675.50000,0.01590
676.00000,0.01462
676.50000,0.01581
677.00000,0.01584
677.50000,0.01755
678.00000,0.01639
678.50000,0.01817
679.00000,0.01637
679.50000,0.01660
680.00000,0.01587
680.50000,0.01659
681.00000,0.01830
681.50000,0.01724
682.00000,0.01727
682.50000,0.01668
683.00000,0.01479
683.50000,0.01382
684.00000,0.01442
684.50000,0.01468
685.00000,0.01521
685.50000,0.01369
686.00000,0.01530
686.50000,0.01416
687.00000,0.01471
687.50000,0.01541
688.00000,0.01532
688.50000,0.01364
689.00000,0.01434
689.50000,0.01439
690.00000,0.01427
690.50000,0.01297
691.00000,0.01239
691.50000,0.01324
692.00000,0.01442
692.50000,0.01332
693.00000,0.01480
693.50000,0.01373
694.00000,0.01233
694.50000,0.01309
695.00000,0.01308
695.50000,0.01392
696.00000,0.01593
696.50000,0.01529
697.00000,0.01489
697.50000,0.01453
698.00000,0.01407
698.50000,0.01379
699.00000,0.01219
699.50000,0.01219
700.00000,0.01308
700.50000,0.01180
701.00000,0.01360
701.50000,0.01283
702.00000,0.01328
702.50000,0.01265
703.00000,0.01146
703.50000,0.01390
704.00000,0.01260
704.50000,0.01237
705.00000,0.01085
705.50000,0.01210
706.00000,0.01338
706.50000,0.01389
707.00000,0.01216
707.50000,0.01192
708.00000,0.01254
708.50000,0.01291
709.00000,0.01454
709.50000,0.01332
710.00000,0.01157
710.50000,0.01047
711.00000,0.01065
711.50000,0.00911
712.00000,0.01057
712.50000,0.01062
713.00000,0.00993
713.50000,0.00995
714.00000,0.00945
714.50000,0.01094
715.00000,0.01205
715.50000,0.01274
716.00000,0.01216
716.50000,0.00992
717.00000,0.01016
717.50000,0.00977
718.00000,0.01004
718.50000,0.01047
719.00000,0.01045
719.50000,0.01112
720.00000,0.01230
720.50000,0.01202
721.00000,0.01106
721.50000,0.00935
722.00000,0.00905
722.50000,0.00963
723.00000,0.00954
723.50000,0.01021
724.00000,0.01152
724.50000,0.01094
725.00000,0.01161
725.50000,0.01106
726.00000,0.01201
726.50000,0.01273
727.00000,0.01216
727.50000,0.01030
728.00000,0.01045
728.50000,0.00960
729.00000,0.00983
729.50000,0.01027
730.00000,0.00929
730.50000,0.00986
731.00000,0.00955
731.50000,0.00778
732.00000,0.00734
732.50000,0.00897
733.00000,0.00883
733.50000,0.00841
734.00000,0.00887
734.50000,0.00987
735.00000,0.01036
735.50000,0.01099
736.00000,0.00981
736.50000,0.00977
737.00000,0.00684
737.50000,0.00525
738.00000,0.00676
738.50000,0.00722
739.00000,0.01001
739.50000,0.01065
740.00000,0.01053
740.50000,0.00861
741.00000,0.01016
741.50000,0.00977
742.00000,0.00771
742.50000,0.00713
743.00000,0.00739
743.50000,0.00822
744.00000,0.00798
744.50000,0.01062
745.00000,0.00903
745.50000,0.00749
746.00000,0.00752
746.50000,0.00748
747.00000,0.00677
747.50000,0.00783
748.00000,0.00858
748.50000,0.00874
749.00000,0.00932
749.50000,0.00661
750.00000,0.00861
750.50000,0.00861
751.00000,0.00706
