Wavelength,2013-02-04 15:40:48,2013-02-04 15:41:34,2013-02-04 15:42:20,2013-02-04 15:43:06,2013-02-04 15:43:52,2013-02-04 15:44:38,2013-02-04 15:45:24,2013-02-04 15:46:10,2013-02-04 15:46:56,2013-02-04 15:47:42,2013-02-04 15:48:29,2013-02-04 15:49:15,2013-02-04 15:50:01,2013-02-04 15:50:47,2013-02-04 15:51:33,2013-02-04 15:52:19,2013-02-04 15:53:05,2013-02-04 15:53:51,2013-02-04 15:54:37,2013-02-04 15:55:23,2013-02-04 15:56:09,2013-02-04 15:56:55,2013-02-04 15:57:41,2013-02-04 15:58:27,2013-02-04 15:59:13,2013-02-04 16:00:00,2013-02-04 16:00:46,2013-02-04 16:01:32,2013-02-04 16:02:18,2013-02-04 16:03:04,2013-02-04 16:03:50,2013-02-04 16:04:36,2013-02-04 16:05:22,2013-02-04 16:06:08,2013-02-04 16:06:54,2013-02-04 16:07:40,2013-02-04 16:08:26,2013-02-04 16:09:12,2013-02-04 16:09:58,2013-02-04 16:10:45,2013-02-04 16:11:31,2013-02-04 16:12:17,2013-02-04 16:13:03,2013-02-04 16:13:49,2013-02-04 16:14:35,2013-02-04 16:15:21,2013-02-04 16:16:07,2013-02-04 16:16:53,2013-02-04 16:17:39,2013-02-04 16:18:25,2013-02-04 16:19:11,2013-02-04 16:19:57,2013-02-04 16:20:43,2013-02-04 16:21:30,2013-02-04 16:22:16,2013-02-04 16:23:02,2013-02-04 16:23:52,2013-02-04 16:24:38,2013-02-04 16:25:24,2013-02-04 16:26:10,2013-02-04 16:26:56,2013-02-04 16:27:42,2013-02-04 16:28:28,2013-02-04 16:29:15,2013-02-04 16:30:01,2013-02-04 16:30:47,2013-02-04 16:31:33,2013-02-04 16:32:19,2013-02-04 16:33:05,2013-02-04 16:33:51,2013-02-04 16:34:37,2013-02-04 16:35:23,2013-02-04 16:36:09,2013-02-04 16:36:55,2013-02-04 16:37:41,2013-02-04 16:38:27,2013-02-04 16:39:13,2013-02-04 16:40:00
403.0,2336.53,2335.32,2337.42,2335.39,2336.95,2336.74,2337.77,2335.66,2337.56,2337.99,2338.54,2338.88,2338.83,2338.92,2340.55,2340.85,2338.68,2339.69,2339.2,2338.81,2339.88,2338.54,2340.11,2339.44,2340.26,2340.42,1650.96,1649.26,1651.41,1647.43,1650.91,1651.49,1651.79,1650.49,1651.09,1649.81,1649.8,1649.17,1649.44,1650.5,1649.88,1647.24,1648.31,1649.93,1648.89,1648.04,1648.82,1647.76,1647.44,1647.13,1647.8,1647.48,1648.63,1646.19,1646.21,1646.47,1646.02,1645.64,1645.77,1611.27,1610.14,1609.14,1608.75,1608.84,1608.28,1606.03,1605.64,1605.2,1604.39,1603.64,1605.11,1602.29,1603.79,1599.99,1600.4,1596.51,1600.6,1597.44
404.0,2336.19,2334.77,2337.07,2334.88,2336.6,2336.14,2337.11,2335.24,2337.0,2337.46,2338.03,2338.3,2338.63,2338.52,2340.17,2340.28,2338.21,2339.49,2338.83,2338.42,2339.33,2338.1,2339.68,2339.04,2339.64,2339.9,1651.78,1649.95,1652.22,1648.28,1651.76,1652.2,1652.52,1651.4,1651.98,1650.81,1650.49,1649.97,1650.28,1651.39,1650.92,1648.05,1649.15,1650.62,1649.92,1648.57,1649.71,1648.67,1648.22,1647.88,1648.63,1648.42,1649.58,1646.92,1647.13,1647.38,1646.79,1646.34,1646.72,1612.08,1611.25,1610.11,1609.78,1610.04,1609.27,1606.99,1606.78,1606.09,1605.42,1604.94,1606.46,1603.53,1604.74,1601.16,1601.21,1597.85,1601.46,1598.56
405.0,2335.26,2333.52,2335.6,2333.83,2335.53,2335.15,2335.97,2334.1,2335.96,2336.13,2336.89,2337.06,2337.25,2337.38,2338.85,2338.98,2337.07,2338.47,2337.62,2337.1,2338.08,2337.03,2338.41,2337.75,2338.52,2338.86,1652.34,1650.15,1652.62,1648.82,1652.13,1652.51,1652.7,1651.58,1652.55,1651.05,1650.92,1650.48,1650.71,1651.65,1651.39,1648.55,1649.8,1650.96,1650.22,1649.18,1650.01,1649.14,1648.53,1648.4,1649.06,1648.68,1649.7,1647.38,1647.63,1647.57,1647.2,1646.72,1647.15,1612.54,1611.76,1610.79,1610.4,1610.85,1609.75,1607.55,1607.31,1606.52,1606.01,1605.66,1606.87,1604.21,1605.27,1601.84,1601.88,1598.94,1601.95,1599.12
406.0,2333.73,2331.9,2333.83,2332.59,2333.91,2333.45,2334.47,2332.86,2334.41,2334.43,2335.51,2335.63,2335.99,2335.95,2337.22,2337.19,2335.6,2336.91,2336.16,2335.52,2336.43,2335.33,2336.86,2335.99,2336.68,2337.47,1652.39,1650.44,1652.72,1648.88,1652.37,1652.49,1652.53,1651.84,1652.77,1651.02,1651.27,1650.66,1650.64,1651.86,1651.4,1648.64,1649.75,1650.91,1650.28,1649.49,1650.12,1649.23,1648.65,1648.66,1649.24,1648.58,1649.84,1647.52,1647.8,1647.71,1647.51,1647.28,1647.16,1612.72,1611.99,1611.0,1610.5,1611.24,1610.0,1607.85,1607.56,1606.63,1606.28,1605.93,1606.93,1604.57,1605.81,1602.3,1602.3,1599.29,1602.29,1599.55
407.0,2333.98,2332.26,2333.99,2332.96,2334.27,2333.42,2334.82,2333.1,2334.49,2334.87,2335.63,2335.61,2336.19,2336.0,2337.46,2337.27,2335.83,2336.83,2336.35,2335.55,2336.56,2335.47,2337.17,2336.23,2336.7,2337.55,1653.86,1651.81,1653.86,1650.15,1653.64,1653.5,1653.73,1653.14,1654.14,1652.22,1652.49,1651.97,1652.03,1653.07,1652.65,1649.82,1650.87,1652.11,1651.44,1650.8,1651.04,1650.72,1650.01,1649.98,1650.72,1649.89,1651.25,1648.87,1649.22,1648.91,1648.79,1648.62,1648.41,1614.2,1613.38,1612.21,1611.92,1612.72,1611.46,1609.26,1608.78,1608.04,1607.86,1607.38,1608.45,1606.14,1607.26,1603.85,1603.74,1600.69,1603.67,1601.24
408.0,2332.58,2330.96,2332.43,2331.5,2332.66,2331.49,2333.43,2331.88,2332.92,2333.23,2334.15,2333.9,2334.73,2334.55,2335.81,2335.68,2334.6,2335.5,2334.74,2333.81,2334.63,2333.89,2335.55,2334.73,2335.12,2335.77,1653.64,1652.01,1653.88,1650.25,1653.5,1653.48,1653.59,1653.12,1654.09,1652.31,1652.32,1651.69,1652.25,1652.94,1652.53,1649.64,1650.95,1652.15,1651.54,1650.88,1651.14,1650.76,1649.93,1649.86,1650.6,1649.86,1651.55,1648.69,1649.47,1648.83,1649.0,1648.59,1648.35,1614.21,1613.53,1612.26,1612.19,1612.82,1611.47,1609.4,1608.75,1608.1,1608.11,1607.75,1608.75,1606.42,1607.52,1604.11,1603.89,1600.83,1603.91,1601.56
409.0,2330.9,2329.35,2330.7,2329.95,2330.69,2329.83,2331.47,2330.11,2330.77,2331.41,2332.25,2332.22,2332.75,2332.75,2334.0,2333.91,2332.94,2333.72,2333.05,2331.62,2333.09,2332.08,2333.88,2333.04,2333.33,2334.0,1653.38,1651.55,1653.8,1649.99,1653.41,1653.32,1653.56,1652.91,1653.94,1652.22,1652.0,1651.53,1652.01,1652.71,1652.34,1649.4,1650.88,1652.0,1651.35,1650.69,1650.84,1650.71,1649.79,1649.6,1650.64,1649.76,1651.3,1648.48,1649.23,1648.74,1648.77,1648.22,1647.98,1614.19,1613.21,1612.11,1612.27,1612.9,1611.42,1609.48,1608.73,1607.99,1607.93,1607.9,1608.82,1606.37,1607.58,1604.31,1604.07,1601.13,1604.02,1601.53
410.0,2321.51,2320.24,2321.54,2320.6,2321.19,2320.59,2322.14,2320.93,2321.37,2322.1,2323.05,2322.88,2323.61,2323.33,2324.5,2324.55,2323.7,2324.5,2323.65,2322.34,2323.59,2322.7,2324.41,2323.63,2324.15,2324.49,1647.74,1646.14,1648.25,1644.69,1648.07,1648.06,1647.92,1647.29,1648.66,1646.73,1646.6,1645.9,1646.61,1647.41,1646.73,1643.78,1645.38,1646.41,1645.75,1645.15,1645.29,1645.25,1644.47,1644.16,1645.07,1644.39,1645.71,1643.05,1643.53,1643.39,1643.34,1642.73,1642.67,1608.92,1607.88,1606.96,1607.22,1607.61,1606.06,1604.28,1603.61,1602.96,1602.91,1602.69,1603.84,1601.27,1602.52,1599.2,1599.18,1596.04,1599.06,1596.36
411.0,2315.29,2314.22,2315.48,2314.66,2315.45,2314.59,2316.34,2314.96,2315.68,2316.36,2317.15,2316.96,2317.57,2317.5,2318.62,2318.65,2317.91,2318.49,2317.89,2316.38,2317.75,2316.93,2318.64,2317.87,2318.21,2318.5,1644.79,1643.1,1645.15,1641.68,1644.87,1645.02,1644.69,1644.22,1645.71,1643.57,1643.68,1642.84,1643.56,1644.27,1643.56,1640.84,1642.29,1643.28,1642.59,1642.31,1642.11,1642.28,1641.47,1641.18,1642.02,1641.42,1642.61,1640.19,1640.51,1640.55,1640.2,1639.92,1639.86,1606.14,1605.07,1604.26,1604.57,1604.94,1603.08,1601.43,1600.93,1600.22,1600.14,1599.79,1601.1,1598.52,1599.85,1596.25,1596.28,1593.21,1596.16,1593.56
412.0,2317.52,2316.53,2317.6,2317.05,2317.83,2316.88,2318.69,2317.51,2318.19,2318.6,2319.28,2319.5,2319.99,2319.94,2321.04,2320.91,2320.17,2320.91,2320.14,2318.75,2320.07,2319.65,2321.24,2320.21,2320.54,2321.09,1647.71,1645.88,1648.03,1644.26,1647.5,1647.81,1647.49,1646.99,1648.49,1646.33,1646.52,1645.84,1646.29,1646.99,1646.1,1643.6,1645.08,1646.3,1645.33,1645.14,1644.87,1645.05,1644.12,1643.85,1644.84,1644.47,1645.18,1643.07,1643.46,1643.37,1642.57,1642.65,1642.45,1609.33,1607.84,1607.04,1607.44,1607.61,1605.65,1604.43,1603.72,1603.12,1603.03,1602.76,1604.03,1601.52,1602.73,1599.17,1599.31,1596.05,1599.06,1596.63
